text_a,text_b,score
"Add support for String contatenation through the ""+"" operator",Flaky RecomputingSupplierTest,0.0
Refactor normal/preview/IR repair to standardize repair cleanup and error handling of failed RepairJobs,Flaky GrantAndRevokeTest,0.0
List Appends Are Not Linearizable,Allow column_index_size_in_kb to be configurable through nodetool,0.0
Relax schema synchronization when opening a keyspace,Fix failing test: SSTableReaderTest.testPersistentStatistics,0.0
Increase the buckets count for timer histogram,UnableToParseClientMessageFromBlockedSubnetTest.badMessageCausesProtocolExceptionFromExcludeList failing on extra log entries,0.0
internode_send_buff_size_in_bytes and internode_recv_buff_size_in_bytes from cassandra.yaml ,utests_system_keyspace_directory - more than 500 tests failing on trunk,0.0
BLOG - Update intro paragraph of interview with Marcel Birkner at Instana,Let IntelliJ run each test class in a separate JVM,0.0
Fix test org.apache.cassandra.net.MessagingServiceTest,"Blog post: ""Harry: A Fuzz Testing Tool for Apache Cassandra""",0.0
Flaky test - org.apache.cassandra.serializers.TimestampSerializerTest,Broken test_speculative_data_request,0.0
Add a virtual table for exposing prepared statements metrics,"commit log was switched from non-daemon to daemon threads, which causes the JVM to exit in some case as no non-daemon threads are active",0.0
Add utilities for materialized views to CQLTester,Replace sequential sstable generation identifier with UUID v1,0.0
Guardrails for consistency levels,Cqlshlib failure,0.0
Classpath can be broken when multiple artifacts are present in build dir,Contribulyze: Generate contributors reports based on git history,0.0
RepairJobTest.testNoTreesRetainedAfterDifference fails consistently on Java 11,Fix test: dtest-upgrade.upgrade_tests.drop_compact_storage_upgrade_test.TestDropCompactStorage.test_drop_compact_storage_mixed_cluster,0.0
Add a virtual table for exposing batch metrics,Guardrail to disable read-before-write list operations,0.0
Make nodes more resilient to local unrelated files during startup,Update CircleCI config to use the latest Docker image,0.0
ViewComplexTest hardening,Diagnostic events for guardrails,0.0
File leaks will not be be detected and released due to strong self-references in the tidier,Avoid unecessary array allocations and initializations in RequestValidations,0.0
Use com.google.common.collect.Lists instead of com.google.monitoring.runtime.instrumentation.common.collect.Lists in RowUtil.,Migrate thresholds for number of keyspaces and tables to guardrails,0.0
"WEBSITE - December 2021 blog post titled ""Configurable Storage Ports and Why We Need Them""",Guardrails for disk usage,0.0
Make startup checks configurable,Allow to GRANT or REVOKE multiple permissions in a single statement,0.0
Remove use of deprecated Files in tests,CQLSSTableWriter backwards compatibility fix for Date fields,0.0
Guardrail for page size,Fix circle MID and HIGH for j11_jvm_dtests ,0.0
ViewTests flaky on timeouts,Queries performed with NODE_LOCAL consistency level do not update request metrics,0.0
MessagingServiceTest listenOptionalSecureConnection and listenRequiredSecureConnection fail sporadically,Don't block gossip when clearing snapshots for failing repairs,0.0
Guardrail for SELECT IN terms and their cartesian product,Fix startup issue with internode_application_timeout_in_ms,0.0
Fix test org.apache.cassandra.distributed.test.SecondaryIndexTest#test_only_coordinator_chooses_index_for_query,Log missing peers in StartupClusterConnectivityChecker,0.0
Introduce TimeUUID,Log read timeouts and unavailables at INFO via a no-spam logger,0.0
Migrate threshold for minimum keyspace replication factor to guardrails,Cannot restart a node when there are other nodes being down in in-jvm dtest framework,0.0
Flaky CompactionsBytemanTest,InitialConnectionHandler Configured pipeline: DefaultChannelPipeline spamming the logs,0.0
Fix formatting in  cassandra.yaml,Add unix time conversion functions,0.0
startup fails if directories do not exist,Broken test_timeuuid - upgrade_tests.cql_tests,0.0
JVMStabilityInspector.forceHeapSpaceOomMaybe should handle all non-heap OOMs rather than only supporting direct only,Make capacity/validity/updateinterval/activeupdate for Auth Caches configurable via nodetool,0.0
"v4+ protocol did not clean up client warnings, which caused leaking the state",Remove use of System.currentTimeMillis,0.0
Guardrails for collection items and size,Eliminate toCQLString() duplication between ReadCommand and AbstractReadQuery,0.0
Log time spent writing keys during compaction,LocalReadSizeWarningTest#failThresholdSinglePartition is flaky,0.0
"DOC - Fix multiple headers, formatting on Monitoring page",Guardrail for partition size,0.0
incremental repairs get stuck often,Consistency Level Considered Connectivity Checker,0.0
CEP-15: (Accord) Reconfiguration,Adapt track_warnings to Guardrails,0.0
CEP-15: (C*/Accord) Reorder Buffer,CEP-15: (C*) Integration with Schema,0.0
CEP-15: (C*) Unified Commit Log,CEP-15: (C*) Real-time Repair,0.0
CEP-15: (C*) Unique Per-Node Id for (Time)UUID,CEP-15: (Accord) Track timestamp bounds between peers,0.0
CEP-15: (Accord) Transaction State GC,dtest-api: Option to start nodes with blank gossip state,0.0
Fix test: bootstrap_test.py::TestBootstrap::test_bootstrap_with_reset_bootstrap_state,Broken API link on Cassandra Cloud Offering page,0.0
Node can be left in a bad state after invalid memory access exception,The process cannot access the file because it is being used by another process.,0.0
Synthetic heap OOM generation should only run with the presence of on OOM JVM options,java.lang.IllegalStateException while streaming,0.0
nodetool snapshot not copying .TOC file for a sstable,Is Cassandra vulnerable to CVE-2021-44228?,0.0
Arrow to SSTable converter,FQL: Enabling via nodetool can trigger disk_failure_mode,0.0
""" as first char of a text column (and unique occurrence) during COPY with DELIMITER set to |",Found Third Party Software  vulnerabilities/security issue in 3.11.11,0.0
Migrate thresholds for GC pauses to guardrails,Migrate thresholds for scanned tombstones to guardrails,0.0
Migrate the thresholds for RFP cached rows to guardrails,Using the user specified page size for internal paging in GROUP BY queries can slow down the query and create high traffic between nodes,0.0
Cassandra  new node is taking Too long to join in cluster ,"In the paxos implementation, a delayed proposal might overwrite newer values",0.0
Fix test distributed.test.trackwarnings.TombstoneWarningTest,Make Guardrails configurable through virtual tables,0.0
Fix test NetstatsBootstrapWithEntireSSTablesCompressionStreamingTest#testWithStreamingEntireSSTablesWithoutCompressionWithoutThrottling,coordinator_large_read should be actually  coordinator_read_size in cassandra.yaml,0.0
Fix test failure: dtest-upgrade.upgrade_tests.upgrade_through_versions_test.TestProtoV3Upgrade_AllVersions_RandomPartitioner_EndsAt_3_11_X_HEAD.test_rolling_upgrade,Remove custom Duration object and refactor its usages to use Duration from Java,0.0
Building Cassandra gives a resolver error,Support adding custom verbs at runtime,0.0
Refactor and support pluggable failure detection,Unable to update token metadata if replacement host set and unresolvable in DNS,0.0
Upgrade failure caused by the change of value of `num_token`,Refactor and support pluggable cluster membership,0.0
Endless loop/timeout in ShortReadRowsProtection due to int overflow in ThriftLimits,Backport snakeyaml 1.26 upgrade,0.0
Add minor upgrade/downgrade/mixed mode support in in-jvm dtests,Fix resource leak due to Files.list,0.0
Allow configuring max allowable disk usage quota by keyspace,Direct memory OOM ,0.0
Avoid unnecessary String.format in QueryProcessor when getting stored prepared statement ,Emit warnings for deprecated parameters (changed names) only once,0.0
CircleCI dtest multiplexer with MIDRES needs more resources,Fix rare NPE caused by batchlog replay / node decomission races,0.0
Add info how to test with your own CCM branch,Incorrect IP used for gossip across DCs with prefer_local=true,0.0
Implement graceful paging across tombstones with short-circuit on paging rather than throwing TombstoneOverwhelmingExceptions,Restrict the types of objects SnakeYAML is allowed to instantiate,0.0
Test failure: org.apache.cassandra.distributed.test.RepairTest.testForcedNormalRepairWithOneNodeDown,"Added support for type VECTOR<type, dimension>",0.0
Convert AccordStateCache cache from write-through to write-back,"Fix cross-refs in trunk - incorrect syntax, no components",0.0
Tidy up vestigial code left over after CASSANDRA-17931,Make JMX SSL to be configured in cassandra.yaml,0.0
TupleType getString and fromString are not safe with string types,SAI - LIKE prefix/suffix support,0.0
Endpoint grouping for distributed range reads,CEP-29: NOT operator,0.0
Enhance nodetool gcstats ,Enable Direct I/O For CommitLog Files,0.0
Waiting for gossip to settle does not wait for live endpoints,cqlsh on Cassandra 4.1.2 fails on Amazon Linux ,0.0
Test failure: utest: org.apache.cassandra.db.RepairedDataTombstonesTest.readTestPartitionTombstones-.jdk11,Test failure: org.apache.cassandra.distributed.test.UpgradeSSTablesTest,0.0
Storage Attached Indexes (Phase 2),Instance.nodetoolResult should connect to JMX if there is such feature enabled in its config,0.0
CEP-8 Driver donations,CEP-15: (C*) Transactional Metadata Integration,0.0
Make Corretto Crypto Provider the Default,Test Failure: HintsDisabledTest.testHintedHandoffDisabled,0.0
Standalone Jenkinsfile,Add support for vectors on UDFs,0.0
Investigate the sizing of BlockPackedReader and MonotonicBlockPackedReader,Use trie for literal index building,0.0
Add option to sstablepartitions for aggregating stats,CEP-30 ANN Vector Search with SAI,0.0
Allow full indexing on frozen collections,Add support for Lucene index and query analyzers,0.0
Update BlockBalancedTreeWriter to take advantage of Lucene improvements,guava vulnerability CVE-2023-2976,0.0
Cassandra Catalyst Program,Introduce IndexTermType to replace TypeUtils in SAI,0.0
Simulator Java 17 support,Expose decommission state to nodetool info,0.0
Inconsistent permissions on new empty node in cluster,Write docs for CEP-30 Vector Search,0.0
Move format-specific sstable options into the format configuration,Test Failure: MixedModeAvailabilityV30AllOneTest.testAvailabilityCoordinatorUpgraded,0.0
Make sstable format configurable per table,Refactor cqlsh On/Off switch implementation and make the output consistent,0.0
CEP-15 Accord: NotWitnessed commands can receive an invalidate promise but would return Zero instead,"CEP-15 (Accord) Original and recover coordinators may hit a race condition with PreApply where reads and writes are interleaved, causing one of the coordinators to see the writes from the other",0.0
CEP-15: (C*) Improve the chaos generation for Burn Tests: slow/flakey connections and dropped messages,Baseline Metrics for Accord Transactions,0.0
Minimise state kept in accord system tables by reusing state from message log,Test failure: test_putget – dtest.putget_test.TestPutGet,0.0
AssertionError: Unknown keyspace after dropping a keyspace,Unify CQLTester#waitForIndex and SAITester#waitForIndexQueryable,0.0
Test failure: org.apache.cassandra.index.sasi.SASICQLTest#testPagingWithClustering,Test failure: org.apache.cassandra.net.ConnectionTest.testTimeout,0.0
ERROR: ArrayIndexOutOfBoundsException: -1 in MigrationStage thread when shutdown Cassandra-3.11.16 node,mTLS based client and internode authenticators,0.0
Make cassandra-stress able to read all credentials from a file,CEP-15: (C*) Enhance in-memory FileSystem to work with mmap and support tests to add custom logic,0.0
When decommissioning should set Severity to limit traffic,Avoid unnecessary deserialization of terminal arguments when executing CQL functions,0.0
Refactor cloud snitches to get rid of duplicate code,nodetool describecluster command is not showing correct Down count.  ,0.0
Deduplicate the MixedModeAvailability upgrade jvm-dtests,Incremental repairs fail on mixed IPv4/v6 addresses serializing SyncRequest,0.0
CEP-15: (C*) Add notion of CommandsForRanges and make this durable in C*,CIDR filtering authorizer for Cassandra,0.0
Add guardrail for partition size,Alter Type does not validate changes like Create Type does,0.0
Deadlock updating sstable metadata if disk boundaries need reloading,Move checkstyle files into .build,0.0
Add vector similarity functions,NPE when deserializing malformed collections from client,0.0
Slow builds due to checkstyle,Docker images can no longer be built due to virtualenv from pip,0.0
Fix org.apache.cassandra.transport.MessagePayloadTest-.jdk17,Implement/override equals and hashCode methods in the ServerEncryptionOptions class,0.0
CircleCI: Add separate approval step for oa utests on separate workflows,"snappy-java vulnerability: CVE-2023-34455, CVE-2023-34454, CVE-2023-34453",0.0
BulkLoader withCipherSuites option is ignored,Remove unnecessary shuffling of GossipDigests in Gossiper#makeRandomGossipDigest,0.0
Bti shouldn't be available in compatibility mode,snakeyaml vulnerability: CVE-2023-2251,0.0
"negotiatedProtocolMustBeAcceptedProtocolTest tests fail with ""TLSv1.1 failed to negotiate"" on JDK17",remove dh_python use from debian packaging,0.0
Add duration to sstablemetadata utility,Generate.sh -s param to skip autodetection of tests,0.0
"Missing ""SSTable Count"" metric  when using nodetool with ""--format"" option",Revert some accesses to internals after CASSANDRA-18329 lands,0.0
Test Failure: upgrade_through_versions_test.py::TestUpgrade::test_rolling_upgrade_with_internode_ssl,compaction_tombstone_warning_threshold and compaction_large_partition_warning_threshold cause deprecation warnings,0.0
CircleCI java distributed tests to run in Medium containers,Improvements to SSTable format configuration,0.0
Fix org.apache.cassandra.transport.DriverBurnTest.measureLargeV4WithCompression-.jdk17 ,Disable the deprecated keyspace/table thresholds and convert them to Guardrails,0.0
jackson-databind-2.13.2.2.jar vulnerability: CVE-2023-35116,Limit the read size on the row level,0.0
Upgrade guava on trunk,Add support for JMX in the in-jvm dtest framework,0.0
Assertion error when describing mv as table,Upgrade Zstd to 1.5.5,0.0
Use WithProperties to ensure that system properties are handled,Add keyspace column to clients virtual table,0.0
"Integer(int), Long(long), Float(double) were deprecated in JDK9",jackson-core vulnerability: CVE-2022-45688,0.0
Update tasks configuration to run checks locally when requested,Unit tests in org.apache.cassandra.cql3.EmptyValuesTest class occasionally failing with JDK17,0.0
Partial compaction can resurrect deleted data,Debian packaging source should exclude git subdirectory,0.0
Cassandra doesn't start on JDK17,Paxos only repair is treated as an incremental repair,0.0
Update Cassandra logos on ASF project logos site,jvm dtest logs should indicate specific test case name being run,0.0
Test pipeline does not always copy to nightlies,Test failure: pdtest: dtest-upgrade.upgrade_tests.cql_tests.TestCQLNodes2RF1_Upgrade_current_2_1_x_To_indev_3_11_x.test_clustering_order_and_functions,0.0
j11 flaky test: org.apache.cassandra.cql3.MemtableSizeTest#testTruncationReleasesLogSpace,No link to source packages,0.0
"WEBSITE - Replace homepage, Events page banners with C* Summit",BLOG - Town Hall Replay: Cassandra Performance Tuning Like You’ve Been Doing it For Ten Years,0.0
Test failure: org.apache.cassandra.io.sstable.indexsummary.IndexSummaryTest.testLargeIndexSummary,CEP-21 Reinstate client notifications for joining/leaving/moving nodes,0.0
CEP-21 Fix tools tests,CEP-21 Avoid NPE when getting dc/rack for not yet registered endpoints,0.0
CEP-21 Ensure that ClusterMetadata::forceEpoch keeps component epochs consistent,CEP-21 Rewrite o.a.c.distributed.test.SchemaTest,0.0
"CEP-21 During startup, don't open SSTables until local metadata log replay is complete",CEP-21 Ensure that SchemaTransformation impls correctly set TableMetadata epoch,0.0
CEP-21 During startup request replay from CMS asynchronously,CREATE INDEX Modifications for Initial Release of SAI,0.0
Add basic text tokenisation and analysis,Checksum per-SSTable and per-column SAI components after streaming,0.0
Optimize Initial Concurrency Selection for Range Read Algorithm During SAI Queries,[Analytics] Add Caching of Node Settings to Improve Efficiency,0.0
Add support for multiple condition branches and results in Accord transaction,"Repair vtable uses number of records rather than memory limits, which can cause more memory allocated than expected",0.0
Add error detection in BTI indexes,[Cassandra Analytics] Add Release Audit Tool (RAT) plugin,0.0
ERROR: Invalid consistency level: NODE_LOCAL when using partition denylist in 4.1.2,As DataOutputBuffer approaches the MAX_BUFFER_SIZE limit there should be a warning.,0.0
Upgrade to lucene-core 9.7.0,Save state about completed streams and display in nodetool netstats,0.0
Missed version note for nodetool setmaxhintwindow,AUTH requests use too much resources,0.0
[Analytics] Add NOTICE.txt in Cassandra Analytics ,BLOG - Clarify wording on 3.x EOL post,0.0
Handle special column name when upgrading from 2.2.19 to 3.0.29/3.11.15,assertion failure when reading after writes and column drop are executed in parallel,0.0
NPE during reads after complex column drop, NullPointerException in cassandra.audit.AuditLogManager.querySuccess when querying endpoints via mgmtapi,0.0
StorageService throws inconsistent exceptions for unknown hosts,The exceptions related to queryNames are inconsistently handled in NodeProbe.java,0.0
Testing required to test upgrade and downgrade completeness,Cassandra Analytics - Upgrade to use JUnit 5,0.0
Gossip unstable with istio service mesh in 4.1.2,snappy-java vulnerability: CVE-2023-34453,0.0
nodetool garbagecollect does not use all available compaction executors,Cassandra Analytics - Adding support for TTL & Timestamps for bulk writes,0.0
Backport Cassandra-10508 Remove hard-coded SSL cipher suites and protocols,Add jobs for resource-intensive Python upgrade tests,0.0
CircleCI and Jenkins - add missing Java and Python upgrade tests,Dropped table causes node to get stuck in JOINING,0.0
 UnknownColumnFamilyException reading from socket Error Post DB Version Upgrade from 3.11.10 to 4.1.0,CQLSH formatting output is incorrect when querying the system properties virtual table,0.0
CEP 15: (Accord) push waiting for epoch into CommandStore rather than require every command to think about the edge case when the epoch isn't ready,[Analytics] Circle CI Configuration for Cassandra Analytics,0.0
Align all system property names used by the project to use the 'cassandra' prefix,Fix shutting down IsolatedJmx ,0.0
Mixed single-column and multi-column clustering restrictions are not merged correctly,CQLSSTableWriter support the generation of secondary index sstable,0.0
[Analytics] Abstract mTLS provisioning via a SecretsProvider,[Jenkins] Run Upgrade tests framework against all maintained JDKs,0.0
Cannot read or repair data after dropping a column when one of the nodes is down,Upgrade to 4.1.1 fails with NullPointerException,0.0
Anticompaction triggered during repair when it's not needed,Leak detected issue in cassandra 3.11.1,0.0
"Improve nodetool enable{audit,fullquery}log, CVE-2023-30601",Circle repeated runs don't skip checkstyle,0.0
[Analytics] Add .asf.yaml file to the Cassandra Analytics repository,Add a simple way to run pycodestyle checks,0.0
Add JMX utility class to in-jvm dtest to ease development of new tests using JMX,Fix flaky dtest: transient_replication_test.TestTransientReplicationRepairStreamEntireSSTable,0.0
Disable chronicle analytics,Investigate preloading ccm repositories in the docker image,0.0
Enable encryption of primary indexes,BLOG - EOL Announcement for 3.x and 3.0.x,0.0
Document that DecimalType violates property serialize(deserialize(bb)) != bb when used as a clustering column,StorageServiceMBean throws inconsistent exceptions,0.0
"""Connection refused"" problem",yaml should explain behavior from CASSANDRA-13325,0.0
CEP-15: (Accord) Join cluster without full transaction log,CEP-15: (Accord) Separate durable and transient listeners,0.0
LEAK DETECTED: org.apache.cassandra.io.util.FileHandle$Cleanup in TestSecondaryIndexes.test_failing_manual_rebuild_index,Support GRANT REVOKE for DESCRIBE KEYSPACES / KEYSPACE / TABLE,0.0
Make Cassandra more user-friendly (admin-friendly) by cleaning up logging,ParseUtils can fail to handle wrong number,0.0
FunctionCall can throw more specific exceptions,Enable single_sstable_uplevel by default for LCS,0.0
LeveledCompactionStrategy does not check its constructor,Connection without username not logged in auditlog ,0.0
Update testing for drop compact storage and CASSANDRA-15897,Update the upgrade paths for storage_engine_upgrade_test,0.0
Warnings when using the perl driver to connect to Cassandra,Review documentation about needing to stop the server for sstable tools,0.0
Formatting looks broken on the metrics page,CEP 15: Accord - Add a new Status of PreAcceptedInvalidated,0.0
MappedByteBufferIndexInputProvider can better throw UndeclaredThrowableException,"NativeTransportEncryptionOptionsTest fails with ant testsome, passes in intellij",0.0
Native Protocol Improvements,Do not require allow filtering when all primary keys are specified in SELECT ,0.0
"Average of ""decimal"" values rounds the average if all inputs are integers",Evaluate fuzzer that found 18108 and others,0.0
BLOG - Announcing Monthly Apache Cassandra Town Halls,"Do not include checkstyle or other checks in ""jar"" target, have separate target for them",0.0
Fix flaky paxosRepairHistoryIsntUpdatedInForcedRepair,Improve default output behavior when tests are run with ant,0.0
Create implicit memtable configurations for skiplist and trie memtables,Row cache inconsistency issue: A read can put stale data into row cache in a race condition,0.0
